"Title:","Median Home Value - Middle Tier Homes from the Zillow Real Estate Metrics [Archive] Database"
"SubTitle:","Counties within State"
"Time:","04/1996 - 04/2019"
"Unit of Measure:","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$"
"Citation:","Zillow (2019-05-17). Median Home Value - Middle Tier Homes: Median Home Value - Middle Tier Homes | Albany, Bronx, Broome, Cattaraugus, Cayuga, Chautauqua, Chemung, Chenango, Clinton, Columbia, Cortland, Delaware, Dutchess, Erie, Essex, Franklin, Fulton, Genesee, Greene, Herkimer, Jefferson, Kings, Livingston, Madison, Monroe, Montgomery, Nassau, New York, Niagara, Oneida, Onondaga, Ontario, Orange, Orleans, Oswego, Otsego, Putnam, Queens, Rensselaer, Richmond, Rockland, Saint Lawrence, Saratoga, Schenectady, Schoharie, Seneca, Steuben, Suffolk, Sullivan, Tioga, Tompkins, Ulster, Warren, Washington, Wayne, Westchester, Wyoming, Yates, 04/1996 - 04/2019. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  068-001-008 doi:https://doi.org/10.6068/DP17D24FFCE4B80"
"ColumnCount:","59"
"RowCount:","277"

"Time","Albany ($)","Bronx ($)","Broome ($)","Cattaraugus ($)","Cayuga ($)","Chautauqua ($)","Chemung ($)","Chenango ($)","Clinton ($)","Columbia ($)","Cortland ($)","Delaware ($)","Dutchess ($)","Erie ($)","Essex ($)","Franklin ($)","Fulton ($)","Genesee ($)","Greene ($)","Herkimer ($)","Jefferson ($)","Kings ($)","Livingston ($)","Madison ($)","Monroe ($)","Montgomery ($)","Nassau ($)","New York ($)","Niagara ($)","Oneida ($)","Onondaga ($)","Ontario ($)","Orange ($)","Orleans ($)","Oswego ($)","Otsego ($)","Putnam ($)","Queens ($)","Rensselaer ($)","Richmond ($)","Rockland ($)","Saint Lawrence ($)","Saratoga ($)","Schenectady ($)","Schoharie ($)","Seneca ($)","Steuben ($)","Suffolk ($)","Sullivan ($)","Tioga ($)","Tompkins ($)","Ulster ($)","Warren ($)","Washington ($)","Wayne ($)","Westchester ($)","Wyoming ($)","Yates ($)"
"04/1996",108100,142600,64600,44700,63800,54200,55700,46700,60200,102000,63800,58600,133000,84900,66600,44100,49300,73300,78800,58900,51900,163000,75700,68600,93000,55000,185500,"",72400,66200,76500,85200,122800,62400,60600,64300,167700,164400,89100,166100,200300,43500,112600,87600,66400,60600,51300,144800,74200,61400,81300,89400,87400,61600,77300,259400,63300,73500
"05/1996",108200,142200,64400,45000,63800,54700,55600,46900,60000,100800,63600,58800,132900,84900,66400,44100,49700,73200,79100,58700,51200,163400,75200,68400,92800,54600,186000,"",72300,66100,76600,85100,122900,62600,60600,64100,167700,165000,89000,165800,200600,43400,112300,87500,66000,60600,51200,145400,74500,61300,81300,89400,87400,61500,77100,260700,63400,72500
"06/1996",108400,141900,64300,45200,63800,55100,55500,47000,59800,99600,63400,58900,132800,84900,66100,44000,50000,73000,79200,58400,50600,163800,74600,68200,92500,54400,186500,"",72300,65800,76800,85100,123100,62800,60500,63900,167600,165500,88900,165400,200900,43200,111900,87300,65500,60600,51100,145900,74800,61000,81300,89500,87200,61500,76800,261800,63600,71500
"07/1996",108500,141500,64000,45500,63600,55400,55400,47000,59600,98500,63300,59000,132700,84900,65700,43900,50400,72900,79200,57900,50000,164100,74200,68000,92300,54100,186800,"",72300,65500,76900,85000,123300,63000,60300,63600,167500,166100,88800,165000,200900,42900,111500,87100,64800,60600,51000,146400,74900,60600,81300,89400,87000,61500,76600,262500,63800,70500
"08/1996",108600,141100,63800,45700,63300,55600,55400,47000,59300,97500,63400,59000,132700,85000,65200,43700,50700,72800,79100,57300,49500,164400,73800,67800,92100,53800,187000,"",72400,65200,76800,85100,123400,63200,60100,63100,167300,166500,88700,164600,200700,42600,111000,86800,64000,60600,50900,146800,75000,60200,81300,89400,86600,61600,76400,262800,64100,69500
"09/1996",108600,140800,63500,46000,62900,55800,55300,46900,59000,96600,63400,59000,132800,85100,64700,43500,51000,72600,78800,56700,49100,164600,73400,67600,91900,53600,187100,"",72500,64800,76600,85200,123600,63200,59800,62700,167200,166700,88700,164200,200500,42300,110600,86500,63100,60700,51000,147200,74900,59800,81200,89400,86100,61700,76100,263000,64400,68500
"10/1996",108700,140600,63100,46200,62400,55900,55200,46800,58800,95800,63500,59000,132900,85200,64000,43300,51200,72400,78300,56000,48800,164700,73100,67400,91900,53400,187200,"",72600,64400,76500,85400,123800,63200,59500,62100,167200,166800,88700,163900,200100,42000,110200,86100,62100,60700,51000,147500,74900,59400,81100,89400,85500,61900,76000,263000,64700,67600
"11/1996",108700,140500,62800,46400,62000,55900,55100,46700,58600,95200,63600,58900,133000,85300,63300,43100,51500,72300,77700,55200,48600,164800,72700,67200,91800,53200,187200,"",72700,64000,76300,85700,124100,63000,59000,61500,167200,166800,88700,163700,199700,41700,109800,85800,61200,60800,50900,147800,74700,58900,81000,89400,84900,62200,76000,262800,65000,66800
"12/1996",108700,140700,62400,46600,61600,55900,55000,46500,58500,94900,63700,58800,133200,85300,62600,42900,51800,72200,77100,54400,48400,165100,72400,67000,91800,53100,187400,"",72700,63600,76100,86000,124400,62800,58600,61000,167400,166900,88800,163700,199600,41300,109500,85500,60300,60900,50900,148300,74500,58500,80900,89500,84300,62500,76000,263000,65400,66100
"01/1997",108700,141000,62100,46800,61300,55900,54900,46400,58500,94700,63800,58800,133500,85200,61900,42700,52000,72200,76600,53700,48300,165600,72100,66800,91700,53000,187900,"",72700,63200,75900,86400,124800,62500,58000,60500,167900,166900,89000,163900,199800,41000,109400,85300,59600,61100,50900,149000,74500,58200,80900,89600,83800,62900,76000,263600,65600,65600
"02/1997",108600,141400,61800,47000,60900,55700,54900,46400,58500,94800,64000,58700,133700,85000,61200,42500,52200,72200,76000,53000,48300,166000,71900,66500,91600,52900,188300,"",72600,62900,75700,86700,125000,62300,57400,60000,168400,166700,89000,164100,199900,40700,109300,85200,59100,61300,50900,149600,74300,58000,80800,89500,83300,63300,76200,263900,65800,65200
"03/1997",108400,141700,61400,47100,60500,55500,54900,46200,58600,94900,64100,58500,133800,84700,60500,42200,52200,72200,75200,52200,48300,166100,71800,66300,91400,52800,188500,"",72500,62500,75400,87100,124900,62100,56800,59400,168700,166400,89000,164200,199900,40400,109100,85100,58500,61400,50900,150000,73800,57800,80900,89400,82800,63700,76500,263900,66000,64900
"04/1997",108200,142100,61100,47200,60200,55300,55000,46000,58700,95200,64100,58400,133900,84300,59900,42000,52300,72300,74600,51500,48300,166300,71700,66100,91200,52600,188800,"",72200,62200,75000,87500,124600,61900,56100,59000,168900,166200,89000,164300,199900,40100,109000,85000,58200,61500,50900,150600,73400,57700,81000,89200,82400,64100,76700,264200,66100,64800
"05/1997",107900,142600,60900,47300,60000,55000,55000,46000,59000,95500,64200,58200,134000,83900,59500,41900,52400,72500,74100,50800,48300,166500,71800,66000,90900,52500,189200,"",71900,61900,74700,87800,124200,61800,55500,58700,169200,166400,88900,164500,200100,39900,108800,84900,58100,61700,51000,151100,72800,57700,81100,89000,82200,64400,77000,264600,66200,64900
"06/1997",107500,143100,60800,47200,59900,54900,55100,45900,59300,95900,64200,58100,134100,83500,59400,41800,52500,72900,73800,50300,48400,166700,72100,65900,90600,52300,189600,"",71700,61700,74400,88000,123700,61700,55100,58500,169300,166800,89000,164700,200300,39900,108800,84800,58300,61900,51100,151400,72300,57800,81300,88900,82000,64700,77300,265200,66100,65000
"07/1997",107100,143600,60700,47300,59800,54900,55200,46000,59700,96200,64100,58000,134200,83100,59400,41800,52500,73200,73600,50000,48500,166900,72500,65900,90400,52100,190000,"",71600,61500,74200,88000,123200,61900,54900,58400,169400,167400,89000,165000,200800,40000,108700,84800,58600,62000,51100,151700,71600,58000,81500,88900,81800,64900,77700,266000,66100,65300
"08/1997",106800,144000,60700,47400,59700,54900,55300,46100,60200,96500,63900,57900,134200,82800,59700,41800,52600,73600,73600,49800,48600,167300,72900,66000,90300,51800,190400,"",71700,61400,74200,88000,122900,62000,55000,58400,169600,168300,89100,165400,201400,40200,108700,84700,59200,62200,51200,151900,71000,58300,81800,89100,81700,64900,78100,267000,66000,65600
"09/1997",106500,144500,60700,47600,59700,54900,55300,46200,60700,96700,63600,57900,134200,82600,60200,41900,52700,74000,73800,49700,48700,167800,73400,66100,90200,51600,190900,"",71900,61300,74300,87900,122900,62300,55200,58600,169800,169200,89100,165900,202100,40400,108800,84600,59900,62500,51300,151900,70400,58700,82100,89500,81700,64900,78400,268300,65900,66000
"10/1997",106400,145100,60800,47800,59600,55100,55400,46400,61300,97000,63300,57800,134400,82600,60800,42100,52900,74500,74100,49700,48800,168500,73800,66400,90300,51500,191500,"",72200,61200,74400,87700,123000,62500,55600,58800,170100,170300,89100,166600,203000,40700,109000,84400,60700,62800,51500,152000,69900,59100,82400,90000,81500,64700,78700,269800,65800,66400
"11/1997",106400,145700,61000,48200,59500,55300,55400,46600,61900,97300,62900,57800,134700,82600,61600,42200,53000,74900,74600,49900,48900,169400,74200,66600,90500,51300,192200,"",72600,61300,74600,87500,123300,62900,55900,59200,170500,171500,89100,167300,203900,41100,109200,84300,61600,63000,51700,152300,69400,59600,82700,90600,81400,64600,78900,271500,65800,66800
"12/1997",106700,146600,61400,48600,59500,55500,55400,46700,62600,97600,62400,57900,135100,82800,62600,42300,53200,75400,75300,50300,48800,170600,74500,66900,90800,51200,193200,"",72900,61500,75000,87400,123800,63300,56400,59700,171200,172800,89100,168200,205100,41700,109700,84100,62600,63300,51900,152800,69100,60000,83100,91200,81400,64300,78900,273600,65800,67200
"01/1998",107100,147400,61700,49100,59500,55800,55400,46800,63300,97900,61900,57900,135700,83000,63700,42500,53300,75800,76000,50700,48700,172000,74700,67200,91200,51200,194500,"",73200,61700,75400,87400,124400,63600,56800,60200,172000,173900,89200,169100,206500,42200,110200,83900,63500,63600,52100,153500,68900,60500,83500,91800,81600,64100,78900,276100,65800,67500
"02/1998",107500,148000,62100,49500,59600,55900,55400,47000,63900,98300,61500,57900,136100,83200,64600,42600,53500,76100,76600,51000,48600,173200,74900,67500,91700,51300,195600,"",73400,62000,75700,87400,124800,64000,57100,60600,172800,174700,89100,169900,207500,42700,110600,83800,64300,63900,52300,154300,68900,60900,83800,92000,81800,63800,78900,278100,65900,67700
